t,ax,ay,az,gx,gy,gz,m1,m2,m3,q0,q1,q2,q3,y,p,r
2620856,989.01,-79.59,-151.73,-0.76,-1.38,0.24,14,66,266,0.78,-0.23,-0.55,-0.20,-8.74,-71.36,-23.97
2640944,991.70,-55.42,-154.17,-1.03,-1.40,0.56,14,66,266,0.78,-0.23,-0.55,-0.21,-8.95,-71.46,-24.62
2661744,995.12,-31.25,-150.63,-1.46,-1.51,0.40,14,66,266,0.77,-0.24,-0.55,-0.21,-9.37,-71.60,-25.04
2681804,993.53,-36.25,-148.93,-1.27,-1.57,0.57,14,66,266,0.77,-0.24,-0.55,-0.22,-9.79,-71.73,-25.42
2701856,990.84,-51.51,-150.76,0.11,-1.30,0.40,14,66,266,0.77,-0.25,-0.55,-0.22,-10.12,-71.84,-25.93
2739700,995.24,-63.23,-155.76,0.47,-1.25,0.47,14,66,266,0.76,-0.26,-0.54,-0.23,-10.57,-72.03,-27.15
2760536,1000.61,-74.34,-145.87,-1.03,-1.64,0.64,14,66,266,0.76,-0.26,-0.54,-0.24,-10.77,-72.11,-27.91
2777944,1000.24,-81.05,-147.71,-1.46,-1.72,0.21,14,66,266,0.76,-0.27,-0.54,-0.24,-10.90,-72.16,-28.63
2798120,991.58,-74.46,-152.10,-1.59,-1.49,0.18,14,66,266,0.76,-0.28,-0.54,-0.25,-11.05,-72.24,-29.48
2815480,993.53,-55.18,-153.44,-1.59,-1.49,0.08,14,66,266,0.75,-0.28,-0.54,-0.25,-11.29,-72.33,-30.08
2836380,990.84,-39.67,-152.71,-1.27,-1.66,0.37,14,66,266,0.75,-0.29,-0.54,-0.26,-11.71,-72.47,-30.63
2856560,994.38,-53.34,-148.68,-0.92,-1.73,0.24,14,66,266,0.75,-0.29,-0.53,-0.27,-12.07,-72.60,-31.22
2877452,992.07,-59.20,-150.39,-0.29,-1.62,0.02,14,66,266,0.74,-0.30,-0.53,-0.27,-12.41,-72.72,-31.89
2897588,994.87,-62.74,-150.63,-0.14,-1.60,0.21,14,66,266,0.74,-0.31,-0.53,-0.28,-12.70,-72.82,-32.59
2917764,995.73,-52.25,-150.02,-0.61,-1.62,0.24,14,66,266,0.74,-0.31,-0.53,-0.28,-13.05,-72.94,-33.23
2937908,995.24,-58.72,-147.95,-1.17,-1.76,0.41,14,66,266,0.73,-0.32,-0.53,-0.29,-13.35,-73.05,-33.95
2958064,995.85,-68.24,-150.27,-1.43,-1.63,0.11,14,66,266,0.73,-0.33,-0.52,-0.30,-13.60,-73.15,-34.77
2978164,994.75,-74.83,-154.05,-1.35,-1.64,-0.12,14,66,266,0.73,-0.33,-0.52,-0.30,-13.82,-73.26,-35.65
2998336,994.38,-57.25,-149.78,-1.08,-1.78,-0.11,14,66,266,0.72,-0.34,-0.52,-0.31,-14.08,-73.38,-36.47
3018488,994.26,-48.95,-149.29,-1.17,-1.82,0.11,14,66,266,0.72,-0.35,-0.52,-0.31,-14.44,-73.53,-37.18
3035876,991.21,-51.64,-150.15,-0.87,-1.67,-0.01,14,66,266,0.71,-0.35,-0.52,-0.32,-14.74,-73.65,-37.80
3056064,990.11,-53.22,-151.37,-0.60,-1.60,0.02,14,66,266,0.71,-0.36,-0.51,-0.33,-15.06,-73.78,-38.57
3076912,995.73,-53.83,-153.44,-0.24,-1.73,0.12,14,66,266,0.70,-0.36,-0.51,-0.33,-15.39,-73.94,-39.37
3097060,997.07,-60.91,-152.34,-0.19,-1.80,0.02,14,66,266,0.70,-0.37,-0.51,-0.34,-15.67,-74.08,-40.21
3117196,995.85,-74.46,-150.39,-0.53,-1.78,-0.15,14,66,266,0.70,-0.38,-0.50,-0.34,-15.86,-74.18,-41.17
3137336,994.14,-71.04,-152.47,-1.05,-1.67,-0.24,14,66,266,0.69,-0.39,-0.50,-0.35,-16.05,-74.29,-42.17
3157468,989.50,-42.72,-156.01,-1.48,-1.65,0.16,14,66,266,0.69,-0.39,-0.50,-0.36,-16.35,-74.45,-43.02
3177520,993.04,-33.20,-149.90,-1.41,-1.65,0.24,14,66,266,0.68,-0.40,-0.50,-0.36,-16.75,-74.63,-43.75
3197564,1002.32,-68.24,-150.63,-0.54,-1.72,-0.16,14,66,266,0.68,-0.41,-0.49,-0.37,-17.05,-74.78,-44.62
3217696,994.51,-86.43,-151.00,0.18,-1.74,-0.63,14,66,266,0.67,-0.41,-0.49,-0.38,-17.18,-74.87,-45.71
3237768,989.99,-64.45,-159.06,0.02,-1.70,-0.28,14,66,266,0.67,-0.42,-0.49,-0.38,-17.31,-75.00,-46.81
3257784,997.44,-46.02,-154.54,-0.73,-1.85,-0.12,14,66,266,0.66,-0.43,-0.48,-0.39,-17.56,-75.17,-47.75
